early_goldblue,mid_goldblue,late_goldblue,lane
242.0,385.2,336.26666666666665,Top
306.26666666666665,331.7,341.61538461538464,Top
279.1333333333333,402.5,416.4,Top
286.4,315.9,334.4375,Top
268.0,304.7,443.1,Top
260.26666666666665,250.44444444444446,,Top
316.0,511.7,472.85714285714283,Top
259.73333333333335,323.2,391.77777777777777,Top
304.3333333333333,405.5,232.5625,Top
290.06666666666666,359.4,619.5714285714286,Top
297.46666666666664,403.6,309.44444444444446,Top
303.06666666666666,335.5,404.6190476190476,Top
257.8666666666667,360.6,420.84615384615387,Top
207.46666666666667,321.1,306.1666666666667,Top
287.8666666666667,364.6,390.0,Top
281.73333333333335,310.0,252.53846153846155,Top
257.46666666666664,328.0,302.46666666666664,Top
271.2,303.3,385.64285714285717,Top
275.93333333333334,304.8,400.8,Top
268.93333333333334,368.7,327.85714285714283,Top
254.73333333333332,333.2,294.625,Top
306.46666666666664,297.0,424.1,Top
318.8,395.1,300.54545454545456,Top
278.3333333333333,275.8,441.44444444444446,Top
274.6,311.0,215.14285714285714,Top
306.8,286.4,465.8333333333333,Top
240.46666666666667,336.5,396.0,Top
290.8,411.6,269.5625,Top
256.2,353.9,714.1666666666666,Top
303.0,426.3,387.8,Top
298.3333333333333,376.1,330.45,Top
264.3333333333333,361.2,369.2352941176471,Top
257.6666666666667,250.5,332.5,Top
241.13333333333333,249.8,251.8,Top
228.0,328.9,260.05555555555554,Top
252.4,258.6,470.1666666666667,Top
300.26666666666665,333.3,464.8,Top
239.53333333333333,304.5,401.3809523809524,Top
276.0,282.9,484.6521739130435,Top
332.2,417.5,458.35714285714283,Top
333.6666666666667,332.7,366.4,Top
239.86666666666667,370.7,299.4166666666667,Top
264.6666666666667,310.5,498.9166666666667,Top
207.93333333333334,294.3,236.2,Top
305.6,355.77777777777777,,Top
251.0,342.1,350.36842105263156,Top
311.2,314.8,379.0,Top
273.06666666666666,338.6,269.77272727272725,Top
272.26666666666665,248.2,280.625,Top
328.3333333333333,349.9,405.2,Top
269.6,353.5,249.0,Top
230.0,452.8,341.2083333333333,Top
324.06666666666666,418.4,673.0,Top
311.2,322.1,521.125,Top
222.26666666666668,350.0,519.75,Top
254.13333333333333,396.1,359.25,Top
215.53333333333333,374.3,519.0,Top
292.8666666666667,346.3,325.88235294117646,Top
236.8,342.5,285.23333333333335,Top
278.6666666666667,379.7,434.61538461538464,Top
333.06666666666666,379.7,274.1923076923077,Top
192.6,251.9,269.8181818181818,Top
270.46666666666664,374.5,370.04761904761904,Top
233.86666666666667,411.4,427.1333333333333,Top
242.46666666666667,283.6,338.8095238095238,Top
274.8666666666667,353.0,317.1904761904762,Top
241.46666666666667,322.4,402.9166666666667,Top
292.73333333333335,223.7,282.0,Top
259.8,329.6,450.75,Top
