early_goldblue,mid_goldblue,late_goldblue,lane
288.6,388.7,505.5652173913044,Middle
294.26666666666665,343.6,352.3636363636364,Middle
276.0,380.0,370.72727272727275,Middle
317.26666666666665,351.4,363.7083333333333,Middle
307.6666666666667,433.4,397.0,Middle
330.4,372.8,268.2142857142857,Middle
271.6666666666667,348.4,308.8235294117647,Middle
304.6,425.4,456.0,Middle
283.46666666666664,366.4,409.72727272727275,Middle
275.1333333333333,392.8,377.0769230769231,Middle
271.53333333333336,376.0,320.4782608695652,Middle
289.8,404.7,354.5652173913044,Middle
339.8666666666667,351.7,391.0,Middle
306.53333333333336,346.3,402.48275862068965,Middle
239.86666666666667,442.7,359.6842105263158,Middle
327.46666666666664,486.1,537.75,Middle
296.4,381.2,461.5625,Middle
304.06666666666666,419.1,484.9230769230769,Middle
295.93333333333334,413.7,471.2,Middle
337.1333333333333,394.6,400.875,Middle
302.1333333333333,526.8,676.75,Middle
344.3333333333333,384.3,513.1428571428571,Middle
272.3333333333333,353.1,475.54545454545456,Middle
291.53333333333336,467.4,366.5416666666667,Middle
325.46666666666664,437.7,557.7142857142857,Middle
298.93333333333334,344.9,366.1,Middle
332.3333333333333,408.1,361.8235294117647,Middle
305.6666666666667,375.8,322.3333333333333,Middle
309.93333333333334,439.5,522.0,Middle
280.8,461.5,369.22222222222223,Middle
319.6,299.2,289.2,Middle
320.8,357.6,342.9375,Middle
324.73333333333335,355.1,285.25,Middle
332.8666666666667,378.8,463.06666666666666,Middle
339.3333333333333,490.4,509.6666666666667,Middle
305.0,381.7,382.5,Middle
325.4,374.9,356.3333333333333,Middle
327.4,271.3,416.26666666666665,Middle
350.46666666666664,473.1,648.1111111111111,Middle
302.6,354.7,314.35714285714283,Middle
327.46666666666664,576.0,,Middle
323.1333333333333,350.8,368.85,Middle
301.46666666666664,396.6,468.6,Middle
313.8666666666667,359.5,413.5,Middle
376.26666666666665,525.1,753.75,Middle
342.26666666666665,464.0,473.6,Middle
310.06666666666666,346.9,343.2307692307692,Middle
270.06666666666666,277.0,286.875,Middle
297.26666666666665,315.2,344.3333333333333,Middle
