early_goldblue,mid_goldblue,late_goldblue,lane
176.53333333333333,279.8,281.0,Support
199.86666666666667,249.6,245.72727272727272,Support
222.06666666666666,267.4,308.6363636363636,Support
206.86666666666667,221.1,226.4,Support
205.86666666666667,251.8,514.0,Support
199.26666666666668,330.8,581.0,Support
208.06666666666666,361.7,249.42857142857142,Support
187.2,197.9,239.57142857142858,Support
190.2,201.4,264.3030303030303,Support
170.2,257.0,343.4,Support
239.4,312.3,659.5,Support
199.06666666666666,355.4,383.0,Support
181.13333333333333,255.5,287.10526315789474,Support
213.4,317.4,264.4736842105263,Support
186.4,301.8,335.9375,Support
207.6,235.1,303.25,Support
220.2,214.6,199.75,Support
168.66666666666666,255.4,403.6666666666667,Support
200.06666666666666,224.8,206.8,Support
225.46666666666667,240.6,314.875,Support
224.46666666666667,276.2,293.3333333333333,Support
187.6,234.5,238.4,Support
171.6,280.1,310.4117647058824,Support
184.66666666666666,209.7,251.0,Support
180.26666666666668,261.4,247.0,Support
189.2,223.8,237.92307692307693,Support
218.73333333333332,355.4,274.25,Support
192.13333333333333,257.5,233.0,Support
181.13333333333333,275.0,279.5,Support
236.0,237.8,364.96666666666664,Support
247.53333333333333,257.3,367.5,Support
184.06666666666666,217.1,293.625,Support
215.4,285.0,280.3333333333333,Support
196.73333333333332,247.8,264.09090909090907,Support
211.8,359.2,592.25,Support
190.13333333333333,234.6,319.2,Support
218.46666666666667,298.6,420.57142857142856,Support
197.86666666666667,265.8,,Support
188.66666666666666,224.0,227.5,Support
184.4,250.7,311.25,Support
179.13333333333333,243.7,275.0833333333333,Support
190.26666666666668,213.6,267.4,Support
195.6,223.5,234.13333333333333,Support
199.93333333333334,232.3,300.65714285714284,Support
220.86666666666667,254.1,236.25,Support
194.6,259.3,331.57894736842104,Support
200.46666666666667,279.3,422.9,Support
216.93333333333334,242.0,255.85714285714286,Support
210.0,258.0,378.0,Support
202.93333333333334,307.4,426.5,Support
212.86666666666667,241.9,263.57142857142856,Support
205.06666666666666,201.5,240.33333333333334,Support
164.73333333333332,253.9,473.375,Support
198.53333333333333,311.0,257.5,Support
174.06666666666666,359.6666666666667,,Support
184.26666666666668,262.8,207.33333333333334,Support
185.53333333333333,386.9,349.5,Support
211.2,244.6,258.27272727272725,Support
193.66666666666666,196.8,248.2,Support
188.73333333333332,234.8,276.46153846153845,Support
187.26666666666668,209.3,266.59090909090907,Support
174.8,234.9,262.85714285714283,Support
198.0,259.1,277.0,Support
209.53333333333333,269.3,269.0,Support
185.8,264.8,310.3,Support
199.73333333333332,243.4,316.1875,Support
206.13333333333333,268.5,249.72727272727272,Support
189.66666666666666,323.2,479.3333333333333,Support
216.2,249.4,381.6363636363636,Support
190.86666666666667,230.7,237.2941176470588,Support
203.13333333333333,217.5,339.45,Support
184.73333333333332,303.4,232.36363636363637,Support
173.2,243.3,237.55555555555554,Support
185.73333333333332,249.9,332.05555555555554,Support
208.8,280.9,328.875,Support
203.6,250.0,254.0,Support
209.46666666666667,242.7,,Support
191.0,324.0,349.0,Support
235.0,245.6,409.6666666666667,Support
212.66666666666666,236.5,217.0,Support
180.33333333333334,217.6,244.66666666666666,Support
187.73333333333332,306.9,372.625,Support
199.06666666666666,259.7,390.9,Support
223.53333333333333,235.0,354.42857142857144,Support
194.53333333333333,245.4,279.3333333333333,Support
197.86666666666667,279.5,222.33333333333334,Support
253.33333333333334,280.4,,Support
186.33333333333334,309.7,270.4117647058824,Support
220.0,274.3,254.5,Support
185.33333333333334,229.8,229.94117647058823,Support
187.93333333333334,273.3,234.25,Support
212.6,291.8,500.6,Support
180.13333333333333,285.3,247.25,Support
241.0,290.9,433.6666666666667,Support
190.13333333333333,224.4,231.4,Support
199.2,296.5,272.6666666666667,Support
171.6,299.9,398.42857142857144,Support
191.8,212.1,300.0,Support
194.4,267.2,378.84615384615387,Support
173.73333333333332,211.5,243.55555555555554,Support
190.06666666666666,220.0,290.625,Support
233.06666666666666,229.7,217.0,Support
186.6,255.8,239.71428571428572,Support
228.73333333333332,244.3,352.85714285714283,Support
197.86666666666667,255.9,204.9375,Support
210.4,234.7,279.6666666666667,Support
284.73333333333335,379.1,,Support
205.73333333333332,244.6,255.25,Support
174.86666666666667,211.6,238.76923076923077,Support
232.6,285.9,330.54545454545456,Support
185.6,277.8,274.11764705882354,Support
199.0,298.4,264.30434782608694,Support
194.2,204.5,231.125,Support
205.46666666666667,225.6,353.5238095238095,Support
179.06666666666666,307.6,589.6666666666666,Support
198.66666666666666,237.1,344.3636363636364,Support
186.13333333333333,243.0,387.42857142857144,Support
184.73333333333332,239.6,352.6363636363636,Support
221.33333333333334,314.6,472.57142857142856,Support
